turbidity_proxy,prediction
0.01300086216876691,4.385698895149335
0.01550851972742179,4.467191308460984
0.01801617728607667,4.52800800878111
0.02052383484473155,4.475377824379985
0.02303149240338643,4.525802446898293
0.02553914996204131,4.449039163015896
0.028046807520696188,4.464577474296912
0.03055446507935107,4.464577474296912
0.033062122638005946,4.6143188241231
0.03556978019666083,5.514158879861057
0.038077437755315705,5.351711912646193
0.04058509531397059,5.351711912646193
0.04309275287262547,5.328197060505171
0.045600410431280346,5.328197060505171
0.04810806798993523,5.416706786411974
0.050615725548590104,5.3318145086557065
0.05312338310724499,5.306224136298033
0.05563104066589987,4.673340436022446
0.058138698224554745,5.280840719451999
0.06064635578320963,5.171621917935041
0.0631540133418645,5.229929017735811
