temperature,prediction
15.0,4.839052443775049
16.0,5.1359325148550266
17.0,4.788095577868907
18.0,5.145755913079713
19.0,5.159978202818526
20.0,4.983427961674209
21.0,4.535108078484479
22.0,4.567084642020276
23.0,4.6143188241231
24.0,4.6143188241231
25.0,4.6143188241231
26.0,4.735125480285091
27.0,4.631418772030682
28.0,4.625750130374132
29.0,4.749532042377416
30.0,4.8180698306392005
31.0,5.0309798237920145
32.0,5.035267881919303
33.0,5.008857354287414
34.0,5.402603433693036
35.0,4.790163676577173
